driverid,First_Name,Last_Name,City,State,Zip,Years with Licence 
4532,Sam,Smith ,Washington,DC,20001,1
23456,Tony,Tegan ,Washington,DC,20001,1
235636,Erick,Jones,Washington,DC,20002,2
354346,Blake,Martin ,Washington,DC,20002,9
123453,Pat,Vogel,Washington,DC,20003,10
123452,Sara,Neauman ,Washington,DC,20009,3
123451,Laura,Turner,Washington,DC,20005,2
123450,Tina,Cleriens,Washington,DC,20005,0
123449,Jim,Sweten,Washington,DC,20005,2
123448,Welch,Orton ,Washington,DC,20003,1
123447,Aaron,Jones,Washington,DC,20003,0
123446,Carlos,Jonas,Washington,DC,20004,2
123445,Lakia,Case,Washington,DC,20004,20
123444,Fred,Allen,Washington,DC,20006,3
123443,Ciera,Flerer,Washington,DC,20009,5
123442,Lennon,Burton,Rockville,MD,20850,3
123441,Jenny,Clinton,Rockville,MD,20850,7
123440,Farrah,Trumpek,Rockville,MD,20851,9
123439,Ed,Garsen,Rockville,MD,20851,21
123438,Alan,Jenson,Rockville,MD,20851,3
123437,Brianna,Shuer,Rockville,MD,20850,11
53645,Willie,Marcus,Bethesda,MD,20852,30
43536,Jean,Mendel,Bethesda,MD,20852,3
3453456,Tina,Kandel,Bethesda,MD,20852,8\
